siren,annee,date_depot,type_comptes,filename_pdf,token_pdf,filename_xlsx,token_xlsx
413153859,2022,2023-10-26,CS,LAVERIE MAISONS ALFORT - Comptes sociaux 2022.pdf,Uk5FQzQxMzE1Mzg1OTY5NDU2OWY2N2ExODY0Zjk5NjAwNGQ5OA,LAVERIE MAISONS ALFORT- Comptes sociaux 2022.xlsx,WFM0MTMxNTM4NTkyMDIzMTAyNjIwMjIxMjMx
413153859,2021,2022-11-14,CS,LAVERIE MAISONS ALFORT - Comptes sociaux 2021.pdf,Uk5FQzQxMzE1Mzg1OTYzZTQ2NWNiZWU1ZDZhYmM0MTBlZTJmZg,LAVERIE MAISONS ALFORT- Comptes sociaux 2021.xlsx,WFM0MTMxNTM4NTkyMDIyMTExNDIwMjExMjMx
413153859,2020,2021-11-29,CS,LAVERIE MAISONS ALFORT - Comptes sociaux 2020.pdf,QzQxMzE1Mzg1OTIwMjExMTI5MjAyMDEyMzFDUw,LAVERIE MAISONS ALFORT- Comptes sociaux 2020.xlsx,WFM0MTMxNTM4NTkyMDIxMTEyOTIwMjAxMjMx
413153859,2019,2021-04-16,CS,LAVERIE MAISONS ALFORT - Comptes sociaux 2019.pdf,Uk5FQzQxMzE1Mzg1OTYzZTQ2NWM5ZWU1ZDZhYmM0MTBlZTJmZA,LAVERIE MAISONS ALFORT- Comptes sociaux 2019.xlsx,WFM0MTMxNTM4NTkyMDIxMDQxNjIwMTkxMjMx
413153859,2018,2019-11-22,CS,LAVERIE MAISONS ALFORT - Comptes sociaux 2018.pdf,Uk5FQzQxMzE1Mzg1OTYzZTQ2NWM4ZWU1ZDZhYmM0MTBlZTJmYw,LAVERIE MAISONS ALFORT- Comptes sociaux 2018.xlsx,WFM0MTMxNTM4NTkyMDE5MTEyMjIwMTgxMjMx
413153859,2017,2018-11-07,CS,LAVERIE MAISONS ALFORT - Comptes sociaux 2017.pdf,Uk5FQzQxMzE1Mzg1OTYzZTQ2NWM4ZWU1ZDZhYmM0MTBlZTJmYg,LAVERIE MAISONS ALFORT- Comptes sociaux 2017.xlsx,WFM0MTMxNTM4NTkyMDE4MTEwNzIwMTcxMjMx
413153859,2016,2017-09-20,CS,LAVERIE MAISONS ALFORT - Comptes sociaux 2016.pdf,Uk5FQzQxMzE1Mzg1OTYzZTQ2NWM4ZWU1ZDZhYmM0MTBlZTJmYQ,LAVERIE MAISONS ALFORT- Comptes sociaux 2016.xlsx,WFM0MTMxNTM4NTkyMDE3MDkyMDIwMTYxMjMx
903047975,2023,2025-06-02,CS,SARL FASO - Comptes sociaux 2023.pdf,Uk5FQzkwMzA0Nzk3NTY4NTQxZGM5YWUwMzMzMTIwNDA3ZjRmNQ,SARL FASO- Comptes sociaux 2023.xlsx,WEM5MDMwNDc5NzUyMDI1MDYwMjIwMjMxMjMx
391394707,2024,2025-09-08,CS,VOLTAIRE LAVERIE - Comptes sociaux 2024.pdf,Uk5FQzM5MTM5NDcwNzY4ZmRlMzMwMDA1MmM4ZWMzNTAzMmQzNA,VOLTAIRE LAVERIE- Comptes sociaux 2024.xlsx,WEMzOTEzOTQ3MDcyMDI1MDkwODIwMjQxMjMx
391394707,2023,2024-09-06,CS,VOLTAIRE LAVERIE - Comptes sociaux 2023.pdf,Uk5FQzM5MTM5NDcwNzY2ZjNjNTgwZjlmMjliNWNmZDBkYWIwNg,REBEL- Comptes sociaux 2023.xlsx,WEMzOTEzOTQ3MDcyMDI0MDkwNjIwMjMxMjMx
391394707,2018,2019-07-29,CS,VOLTAIRE LAVERIE - Comptes sociaux 2018.pdf,QzM5MTM5NDcwNzIwMTkwNzI5MjAxODEyMzFDUw,REBEL- Comptes sociaux 2018.xlsx,WEMzOTEzOTQ3MDcyMDE5MDcyOTIwMTgxMjMx
391394707,2017,2018-08-03,CS,VOLTAIRE LAVERIE - Comptes sociaux 2017.pdf,Uk5FQzM5MTM5NDcwNzYzZWI0OWJlZTc5NTI1YjRhNjA2YjJhOQ,REBEL- Comptes sociaux 2017.xlsx,WEMzOTEzOTQ3MDcyMDE4MDgwMzIwMTcxMjMx
391394707,2016,2017-07-03,CS,VOLTAIRE LAVERIE - Comptes sociaux 2016.pdf,Uk5FQzM5MTM5NDcwNzYzZWI0OWJlZTc5NTI1YjRhNjA2YjJhYQ,REBEL- Comptes sociaux 2016.xlsx,WEMzOTEzOTQ3MDcyMDE3MDcwMzIwMTYxMjMx
954046835,2024,2025-07-08,CS,FIRELAV - Comptes sociaux 2024.pdf,Uk5FQzk1NDA0NjgzNTY4ODg4NWY2YzAxNGEwOGJiNDAxYzk2Mg,Firelav- Comptes sociaux 2024.xlsx,WFM5NTQwNDY4MzUyMDI1MDcwODIwMjQxMjMx
850855065,2021,2021-12-03,CS,LAVERIE N12 - Comptes sociaux 2021.pdf,Qzg1MDg1NTA2NTIwMjExMjAzMjAyMTA2MzBDUw,LAVERIE N12- Comptes sociaux 2021.xlsx,WEM4NTA4NTUwNjUyMDIxMTIwMzIwMjEwNjMw
850855065,2020,2020-09-18,CS,LAVERIE N12 - Comptes sociaux 2020.pdf,Qzg1MDg1NTA2NTIwMjAwOTE4MjAyMDA2MzBDUw,LAVERIE N12- Comptes sociaux 2020.xlsx,WEM4NTA4NTUwNjUyMDIwMDkxODIwMjAwNjMw
519882377,2019,2021-08-03,CS,LAVERIE FJL - Comptes sociaux 2019.pdf,QzUxOTg4MjM3NzIwMjEwODAzMjAxOTEyMzFDUw,LAVERIE FJL- Comptes sociaux 2019.xlsx,WFM1MTk4ODIzNzcyMDIxMDgwMzIwMTkxMjMx
519882377,2018,2020-06-05,CS,LAVERIE FJL - Comptes sociaux 2018.pdf,Uk5FQzUxOTg4MjM3NzYzZTRiYjRhNDJmZWY3NmU1OTA3Njc1OQ,LAVERIE FJL- Comptes sociaux 2018.xlsx,WFM1MTk4ODIzNzcyMDIwMDYwNTIwMTgxMjMx
519882377,2016,2017-12-15,CS,LAVERIE FJL - Comptes sociaux 2016.pdf,Uk5FQzUxOTg4MjM3NzYzZTRiYjQ5NDJmZWY3NmU1OTA3Njc1OA,LAVERIE FJL- Comptes sociaux 2016.xlsx,WFM1MTk4ODIzNzcyMDE3MTIxNTIwMTYxMjMx
519882377,2015,2017-01-05,CS,LAVERIE FJL - Comptes sociaux 2015.pdf,Uk5FQzUxOTg4MjM3NzYzZTRiYjQ5NDJmZWY3NmU1OTA3Njc1Nw,LAVERIE FJL- Comptes sociaux 2015.xlsx,WFM1MTk4ODIzNzcyMDE3MDEwNTIwMTUxMjMx
883135089,2022,2023-10-03,CS,CONCEPT LAV'ECO - Comptes sociaux 2022.pdf,Uk5FQzg4MzEzNTA4OTY1NDVhYTlmMDgwOTNjZGFjZTA2NDdhOQ,CONCEPT LAV'ECO- Comptes sociaux 2022.xlsx,WFM4ODMxMzUwODkyMDIzMTAwMzIwMjIxMjMx
883135089,2021,2022-06-03,CS,CONCEPT LAV'ECO - Comptes sociaux 2021.pdf,Uk5FQzg4MzEzNTA4OTYzZWE2NWZmODM0MmVhMTJhYTA3OGQ3NA,CONCEPT LAV'ECO- Comptes sociaux 2021.xlsx,WFM4ODMxMzUwODkyMDIyMDYwMzIwMjExMjMx
883135089,2020,2021-06-16,CS,CONCEPT LAV'ECO - Comptes sociaux 2020.pdf,Uk5FQzg4MzEzNTA4OTYzZWE2NWZlODM0MmVhMTJhYTA3OGQ3Mw,CONCEPT LAV'ECO- Comptes sociaux 2020.xlsx,WFM4ODMxMzUwODkyMDIxMDYxNjIwMjAxMjMx
531057867,2020,2022-05-12,CS,YS LAVERIE - Comptes sociaux 2020.pdf,Uk5FQzUzMTA1Nzg2NzYzZTFkNWQ5ZDBmMjliNWFhYTA1ZDc5NA,YS LAVERIE- Comptes sociaux 2020.xlsx,WFM1MzEwNTc4NjcyMDIyMDUxMjIwMjAxMjMx
530772086,2015,2017-03-15,CS,LES LAVERIES DE PARIS - Comptes sociaux 2015.pdf,QzUzMDc3MjA4NjIwMTcwMzE1MjAxNTEyMzFDUw,LES LAVERIES DE PARIS- Comptes sociaux 2015.xlsx,WFM1MzA3NzIwODYyMDE3MDMxNTIwMTUxMjMx
507831709,2018,2019-10-24,CS,ELECTR'EAU LAV - Comptes sociaux 2018.pdf,Uk5FQzUwNzgzMTcwOTYzZTQ2NjVmZWU1ZDZhYmM0MTBlZTYzMw,ELECTR'EAU LAV- Comptes sociaux 2018.xlsx,WFM1MDc4MzE3MDkyMDE5MTAyNDIwMTgxMjMx
507831709,2017,2018-08-13,CS,ELECTR'EAU LAV - Comptes sociaux 2017.pdf,Uk5FQzUwNzgzMTcwOTYzZTQ2NjVmZWU1ZDZhYmM0MTBlZTYzMg,ELECTR'EAU LAV- Comptes sociaux 2017.xlsx,WFM1MDc4MzE3MDkyMDE4MDgxMzIwMTcxMjMx
507831709,2016,2017-06-30,CS,ELECTR'EAU LAV - Comptes sociaux 2016.pdf,Uk5FQzUwNzgzMTcwOTYzZTQ2NjVmZWU1ZDZhYmM0MTBlZTYzMQ,ELECTR'EAU LAV- Comptes sociaux 2016.xlsx,WFM1MDc4MzE3MDkyMDE3MDYzMDIwMTYxMjMx
809487739,2025,2026-03-18,CS,AU FIL DE L'EAU - Comptes sociaux 2025.pdf,Uk5FQzgwOTQ4NzczOTY5Y2Y3NGMxZGE4MDM2OWU5YjA0Y2JlMA,AU FIL DE L'EAU- Comptes sociaux 2025.xlsx,WFM4MDk0ODc3MzkyMDI2MDMxODIwMjUxMjMx
809487739,2024,2025-07-24,CS,AU FIL DE L'EAU - Comptes sociaux 2024.pdf,Uk5FQzgwOTQ4NzczOTY4OWFmOTE5Y2ZlNjY3ZTBhZDA1YjEyMA,AU FIL DE L'EAU- Comptes sociaux 2024.xlsx,WFM4MDk0ODc3MzkyMDI1MDcyNDIwMjQxMjMx
809487739,2023,2024-04-29,CS,AU FIL DE L'EAU - Comptes sociaux 2023.pdf,Uk5FQzgwOTQ4NzczOTY2NDQwYmIzMzRlYzcxZWY5NTA4N2MwNA,AU FIL DE L'EAU- Comptes sociaux 2023.xlsx,WFM4MDk0ODc3MzkyMDI0MDQyOTIwMjMxMjMx
809487739,2022,2023-04-13,CS,AU FIL DE L'EAU - Comptes sociaux 2022.pdf,Uk5FQzgwOTQ4NzczOTY0OTI5OTlkYWZjYjNhNTMwZTBkMmUzYQ,AU FIL DE L'EAU- Comptes sociaux 2022.xlsx,WFM4MDk0ODc3MzkyMDIzMDQxMzIwMjIxMjMx
809487739,2021,2022-04-01,CS,AU FIL DE L'EAU - Comptes sociaux 2021.pdf,QzgwOTQ4NzczOTIwMjIwNDAxMjAyMTEyMzFDUw,AU FIL DE L'EAU- Comptes sociaux 2021.xlsx,WFM4MDk0ODc3MzkyMDIyMDQwMTIwMjExMjMx
809487739,2020,2021-04-19,CS,AU FIL DE L'EAU - Comptes sociaux 2020.pdf,Uk5FQzgwOTQ4NzczOTYzZGVhYTk3Nzc4MmQ1MjMxOTEwMjJlMw,AU FIL DE L'EAU- Comptes sociaux 2020.xlsx,WFM4MDk0ODc3MzkyMDIxMDQxOTIwMjAxMjMx
809487739,2019,2020-04-30,CS,AU FIL DE L'EAU - Comptes sociaux 2019.pdf,QzgwOTQ4NzczOTIwMjAwNDMwMjAxOTEyMzFDUw,AU FIL DE L'EAU- Comptes sociaux 2019.xlsx,WFM4MDk0ODc3MzkyMDIwMDQzMDIwMTkxMjMx
809487739,2018,2019-12-24,CS,AU FIL DE L'EAU - Comptes sociaux 2018.pdf,Uk5FQzgwOTQ4NzczOTYzZGVhYTk2Nzc4MmQ1MjMxOTEwMjJlMg,AU FIL DE L'EAU- Comptes sociaux 2018.xlsx,WFM4MDk0ODc3MzkyMDE5MTIyNDIwMTgxMjMx
809487739,2016,2017-09-08,CS,AU FIL DE L'EAU - Comptes sociaux 2016.pdf,Uk5FQzgwOTQ4NzczOTYzZGVhYTk2Nzc4MmQ1MjMxOTEwMjJlMA,AU FIL DE L'EAU- Comptes sociaux 2016.xlsx,WFM4MDk0ODc3MzkyMDE3MDkwODIwMTYxMjMx
483359030,2023,2024-10-10,CS,LE FER A LA MAIN - Comptes sociaux 2023.pdf,Uk5FQzQ4MzM1OTAzMDY3MjBiMzk4ZTM3YTg5YTdkZjAxNGYzMg,LE FER A LA MAIN- Comptes sociaux 2023.xlsx,WFM0ODMzNTkwMzAyMDI0MTAxMDIwMjMxMjMx
483359030,2022,2024-10-10,CS,LE FER A LA MAIN - Comptes sociaux 2022.pdf,Uk5FQzQ4MzM1OTAzMDY3MjBiNDVlMDc4ODRlMjY4ZDA2YmYxYQ,LE FER A LA MAIN- Comptes sociaux 2022.xlsx,WFM0ODMzNTkwMzAyMDI0MTAxMDIwMjIxMjMx
483359030,2021,2024-10-10,CS,LE FER A LA MAIN - Comptes sociaux 2021.pdf,Uk5FQzQ4MzM1OTAzMDY3MjBhN2QwNDdlYWRiZjNhYTAyYmFlZQ,LE FER A LA MAIN- Comptes sociaux 2021.xlsx,WFM0ODMzNTkwMzAyMDI0MTAxMDIwMjExMjMx
483359030,2020,2024-10-10,CS,LE FER A LA MAIN - Comptes sociaux 2020.pdf,Uk5FQzQ4MzM1OTAzMDY3MjBhODFkZTU0NDcxMThkYzA1N2Q2Mg,LE FER A LA MAIN- Comptes sociaux 2020.xlsx,WFM0ODMzNTkwMzAyMDI0MTAxMDIwMjAxMjMx
483359030,2019,2021-03-25,CS,LE FER A LA MAIN - Comptes sociaux 2019.pdf,Uk5FQzQ4MzM1OTAzMDYzZTY4ZGU1N2U4OTgwMDVmNTBjNjM0NA,LE FER A LA MAIN- Comptes sociaux 2019.xlsx,WEM0ODMzNTkwMzAyMDIxMDMyNTIwMTkxMjMx
483359030,2018,2019-11-21,CS,LE FER A LA MAIN - Comptes sociaux 2018.pdf,Uk5FQzQ4MzM1OTAzMDYzZTY4ZGU1N2U4OTgwMDVmNTBjNjM0Mw,LE FER A LA MAIN- Comptes sociaux 2018.xlsx,WFM0ODMzNTkwMzAyMDE5MTEyMTIwMTgxMjMx
483359030,2017,2018-10-31,CS,LE FER A LA MAIN - Comptes sociaux 2017.pdf,Uk5FQzQ4MzM1OTAzMDYzZTY4ZGU0N2U4OTgwMDVmNTBjNjM0Mg,LE FER A LA MAIN- Comptes sociaux 2017.xlsx,WEM0ODMzNTkwMzAyMDE4MTAzMTIwMTcxMjMx
483359030,2016,2018-01-31,CS,LE FER A LA MAIN - Comptes sociaux 2016.pdf,Uk5FQzQ4MzM1OTAzMDYzZTY4ZGU0N2U4OTgwMDVmNTBjNjM0MQ,LE FER A LA MAIN- Comptes sociaux 2016.xlsx,WEM0ODMzNTkwMzAyMDE4MDEzMTIwMTYxMjMx
483359030,2015,2017-04-10,CS,LE FER A LA MAIN - Comptes sociaux 2015.pdf,Uk5FQzQ4MzM1OTAzMDYzZTY4ZGU0N2U4OTgwMDVmNTBjNjM0MA,LE FER A LA MAIN- Comptes sociaux 2015.xlsx,WEM0ODMzNTkwMzAyMDE3MDQxMDIwMTUxMjMx
414759100,2021,2022-10-18,CS,CLISSON LAVA - Comptes sociaux 2021.pdf,Uk5FQzQxNDc1OTEwMDYzZDlkYjlmMTQxODhmNzYwZTA5MGIwOQ,CLISSON LAVA- Comptes sociaux 2021.xlsx,WFM0MTQ3NTkxMDAyMDIyMTAxODIwMjExMjMx
414759100,2020,2021-07-30,CS,CLISSON LAVA - Comptes sociaux 2020.pdf,Uk5FQzQxNDc1OTEwMDYzZDlkYjlmMTQxODhmNzYwZTA5MGIwOA,CLISSON LAVA- Comptes sociaux 2020.xlsx,WFM0MTQ3NTkxMDAyMDIxMDczMDIwMjAxMjMx
414759100,2019,2020-08-11,CS,CLISSON LAVA - Comptes sociaux 2019.pdf,Uk5FQzQxNDc1OTEwMDYzZDlkYjlmMTQxODhmNzYwZTA5MGIwNw,CLISSON LAVA- Comptes sociaux 2019.xlsx,WFM0MTQ3NTkxMDAyMDIwMDgxMTIwMTkxMjMx
414759100,2018,2019-08-02,CS,CLISSON LAVA - Comptes sociaux 2018.pdf,Uk5FQzQxNDc1OTEwMDYzZDlkYjllMTQxODhmNzYwZTA5MGIwNg,CLISSON LAVA- Comptes sociaux 2018.xlsx,WFM0MTQ3NTkxMDAyMDE5MDgwMjIwMTgxMjMx
414759100,2017,2019-03-28,CS,CLISSON LAVA - Comptes sociaux 2017.pdf,Uk5FQzQxNDc1OTEwMDYzZDlkYjllMTQxODhmNzYwZTA5MGIwNQ,CLISSON LAVA- Comptes sociaux 2017.xlsx,WEM0MTQ3NTkxMDAyMDE5MDMyODIwMTcxMjMx
414759100,2016,2017-06-07,CS,CLISSON LAVA - Comptes sociaux 2016.pdf,Uk5FQzQxNDc1OTEwMDYzZDlkYjllMTQxODhmNzYwZTA5MGIwNA,CLISSON LAVA- Comptes sociaux 2016.xlsx,WFM0MTQ3NTkxMDAyMDE3MDYwNzIwMTYxMjMx
377823844,2024,2025-10-06,CS,NMJP - Comptes sociaux 2024.pdf,Uk5FQzM3NzgyMzg0NDY4ZjhlM2Y5Y2E3MWE3YzQ1MTA2OWU5Mg,N.M.J.P.- Comptes sociaux 2024.xlsx,WEMzNzc4MjM4NDQyMDI1MTAwNjIwMjQxMjMx
377823844,2023,2024-10-02,CS,NMJP - Comptes sociaux 2023.pdf,Uk5FQzM3NzgyMzg0NDY3MWE1NDU2ODhiODJlNzRmNTAxNTk3Mg,N.M.J.P.- Comptes sociaux 2023.xlsx,WEMzNzc4MjM4NDQyMDI0MTAwMjIwMjMxMjMx
377823844,2022,2023-10-31,CS,NMJP - Comptes sociaux 2022.pdf,Uk5FQzM3NzgyMzg0NDY1Nzc1NDkyMzk5ZjZkNmIwNTBlZmJlNA,N.M.J.P.- Comptes sociaux 2022.xlsx,WEMzNzc4MjM4NDQyMDIzMTAzMTIwMjIxMjMx
377823844,2021,2022-11-08,CS,NMJP - Comptes sociaux 2021.pdf,Uk5FQzM3NzgyMzg0NDYzZTc2MWQ1NTRmZWJkYTE3YzEwMGI4OA,N.M.J.P.- Comptes sociaux 2021.xlsx,WEMzNzc4MjM4NDQyMDIyMTEwODIwMjExMjMx
377823844,2020,2021-11-15,CS,NMJP - Comptes sociaux 2020.pdf,Uk5FQzM3NzgyMzg0NDYzZTc2MWQ1NTRmZWJkYTE3YzEwMGI4OQ,N.M.J.P.- Comptes sociaux 2020.xlsx,WEMzNzc4MjM4NDQyMDIxMTExNTIwMjAxMjMx
377823844,2019,2020-12-01,CS,NMJP - Comptes sociaux 2019.pdf,Uk5FQzM3NzgyMzg0NDYzZTc2MWQ1NTRmZWJkYTE3YzEwMGI4YQ,N.M.J.P.- Comptes sociaux 2019.xlsx,WEMzNzc4MjM4NDQyMDIwMTIwMTIwMTkxMjMx
377823844,2018,2019-10-15,CS,NMJP - Comptes sociaux 2018.pdf,Uk5FQzM3NzgyMzg0NDYzZTc2MWQ1NTRmZWJkYTE3YzEwMGI4Ng,N.M.J.P.- Comptes sociaux 2018.xlsx,WEMzNzc4MjM4NDQyMDE5MTAxNTIwMTgxMjMx
377823844,2017,2018-12-13,CS,NMJP - Comptes sociaux 2017.pdf,Uk5FQzM3NzgyMzg0NDYzZTc2MWQ1NTRmZWJkYTE3YzEwMGI4Nw,N.M.J.P.- Comptes sociaux 2017.xlsx,WEMzNzc4MjM4NDQyMDE4MTIxMzIwMTcxMjMx
